Unidade da Federação;Internações;mes;ano;mes_ano
35 São Paulo;2153;Jan;2008;2008-01-01
29 Bahia;1156;Jan;2008;2008-01-01
31 Minas Gerais;1193;Jan;2008;2008-01-01
33 Rio de Janeiro;679;Jan;2008;2008-01-01
26 Pernambuco;489;Jan;2008;2008-01-01
23 Ceará;731;Jan;2008;2008-01-01
41 Paraná;599;Jan;2008;2008-01-01
15 Pará;600;Jan;2008;2008-01-01
43 Rio Grande do Sul;349;Jan;2008;2008-01-01
21 Maranhão;434;Jan;2008;2008-01-01
42 Santa Catarina;416;Jan;2008;2008-01-01
13 Amazonas;138;Jan;2008;2008-01-01
52 Goiás;237;Jan;2008;2008-01-01
25 Paraíba;343;Jan;2008;2008-01-01
22 Piauí;209;Jan;2008;2008-01-01
27 Alagoas;280;Jan;2008;2008-01-01
28 Sergipe;272;Jan;2008;2008-01-01
24 Rio Grande do Norte;169;Jan;2008;2008-01-01
32 Espírito Santo;193;Jan;2008;2008-01-01
53 Distrito Federal;116;Jan;2008;2008-01-01
51 Mato Grosso;179;Jan;2008;2008-01-01
50 Mato Grosso do Sul;222;Jan;2008;2008-01-01
17 Tocantins;138;Jan;2008;2008-01-01
16 Amapá;205;Jan;2008;2008-01-01
11 Rondônia;75;Jan;2008;2008-01-01
12 Acre;26;Jan;2008;2008-01-01
14 Roraima;88;Jan;2008;2008-01-01
35 São Paulo;2800;Fev;2008;2008-02-01
29 Bahia;1640;Fev;2008;2008-02-01
31 Minas Gerais;1499;Fev;2008;2008-02-01
33 Rio de Janeiro;816;Fev;2008;2008-02-01
26 Pernambuco;904;Fev;2008;2008-02-01
23 Ceará;915;Fev;2008;2008-02-01
41 Paraná;660;Fev;2008;2008-02-01
15 Pará;791;Fev;2008;2008-02-01
43 Rio Grande do Sul;800;Fev;2008;2008-02-01
21 Maranhão;593;Fev;2008;2008-02-01
42 Santa Catarina;582;Fev;2008;2008-02-01
13 Amazonas;418;Fev;2008;2008-02-01
52 Goiás;406;Fev;2008;2008-02-01
25 Paraíba;399;Fev;2008;2008-02-01
22 Piauí;361;Fev;2008;2008-02-01
27 Alagoas;346;Fev;2008;2008-02-01
28 Sergipe;353;Fev;2008;2008-02-01
24 Rio Grande do Norte;198;Fev;2008;2008-02-01
32 Espírito Santo;293;Fev;2008;2008-02-01
53 Distrito Federal;326;Fev;2008;2008-02-01
51 Mato Grosso;247;Fev;2008;2008-02-01
50 Mato Grosso do Sul;220;Fev;2008;2008-02-01
17 Tocantins;190;Fev;2008;2008-02-01
16 Amapá;141;Fev;2008;2008-02-01
11 Rondônia;71;Fev;2008;2008-02-01
12 Acre;61;Fev;2008;2008-02-01
14 Roraima;-;Fev;2008;2008-02-01
35 São Paulo;2892;Mar;2008;2008-03-01
29 Bahia;1560;Mar;2008;2008-03-01
31 Minas Gerais;1601;Mar;2008;2008-03-01
33 Rio de Janeiro;1134;Mar;2008;2008-03-01
26 Pernambuco;796;Mar;2008;2008-03-01
23 Ceará;1041;Mar;2008;2008-03-01
41 Paraná;608;Mar;2008;2008-03-01
15 Pará;769;Mar;2008;2008-03-01
43 Rio Grande do Sul;808;Mar;2008;2008-03-01
21 Maranhão;584;Mar;2008;2008-03-01
42 Santa Catarina;525;Mar;2008;2008-03-01
13 Amazonas;461;Mar;2008;2008-03-01
52 Goiás;415;Mar;2008;2008-03-01
25 Paraíba;400;Mar;2008;2008-03-01
22 Piauí;290;Mar;2008;2008-03-01
27 Alagoas;301;Mar;2008;2008-03-01
28 Sergipe;322;Mar;2008;2008-03-01
24 Rio Grande do Norte;183;Mar;2008;2008-03-01
32 Espírito Santo;230;Mar;2008;2008-03-01
53 Distrito Federal;372;Mar;2008;2008-03-01
51 Mato Grosso;252;Mar;2008;2008-03-01
50 Mato Grosso do Sul;205;Mar;2008;2008-03-01
17 Tocantins;179;Mar;2008;2008-03-01
16 Amapá;181;Mar;2008;2008-03-01
